course_id,date,course_title,count
04ba6d0b40670c43a209141fa01fa784,2016-03,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2016-04,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2016-05,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2016-06,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2016-07,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2016-08,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2016-09,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2016-10,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2016-11,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2016-12,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2017-01,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2017-02,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2017-03,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2017-04,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2017-05,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2017-06,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2017-07,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2017-08,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2017-09,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2017-10,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2017-11,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2017-12,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2018-01,Анимация интерфейсов,0.0
04ba6d0b40670c43a209141fa01fa784,2018-02,Анимация интерфейсов,43.0
04ba6d0b40670c43a209141fa01fa784,2018-03,Анимация интерфейсов,53.0
04ba6d0b40670c43a209141fa01fa784,2018-04,Анимация интерфейсов,62.0
04ba6d0b40670c43a209141fa01fa784,2018-05,Анимация интерфейсов,70.0
04ba6d0b40670c43a209141fa01fa784,2018-06,Анимация интерфейсов,101.0
04ba6d0b40670c43a209141fa01fa784,2018-07,Анимация интерфейсов,143.0
04ba6d0b40670c43a209141fa01fa784,2018-08,Анимация интерфейсов,149.0
04ba6d0b40670c43a209141fa01fa784,2018-09,Анимация интерфейсов,154.0
04ba6d0b40670c43a209141fa01fa784,2018-10,Анимация интерфейсов,179.0
04ba6d0b40670c43a209141fa01fa784,2018-11,Анимация интерфейсов,173.0
