index,id,weather_state_name,weather_state_abbr,wind_direction_compass,created,applicable_date,min_temp,max_temp,the_temp,wind_speed,wind_direction,air_pressure,humidity,visibility,predictability
0,4706336925286400,Showers,s,W,2019-03-01T21:59:01.944736Z,2019-03-01,7.593333333333334,12.533333333333333,12.055,4.989812600347968,271.4307338494283,1017.6800000000001,74,6.465988626421697,73
1,5349522672713728,Showers,s,W,2019-03-01T18:57:01.981049Z,2019-03-01,7.593333333333334,12.533333333333333,12.055,5.207913275347968,276.65012433988113,1017.1800000000001,73,6.667623578302712,73
2,4529216366313472,Showers,s,W,2019-03-01T15:55:02.886405Z,2019-03-01,7.593333333333334,12.533333333333333,12.055,5.207913275347968,276.65012433988113,1017.1800000000001,73,6.667623578302712,73
3,4582457049350144,Showers,s,W,2019-03-01T12:53:01.886400Z,2019-03-01,7.593333333333334,12.533333333333333,12.055,5.207913275347968,276.65012433988113,1017.1800000000001,73,6.667623578302712,73
4,6272821925773312,Showers,s,W,2019-03-01T09:51:02.485187Z,2019-03-01,7.593333333333334,12.533333333333333,12.185,4.531241950347968,271.4307338494283,1017.1800000000001,75,7.897627853336514,73
5,6733246983307264,Showers,s,W,2019-03-01T06:49:02.512206Z,2019-03-01,7.433333333333334,12.589999999999998,12.185,4.566241950347968,268.8527615569524,1017.1800000000001,75,8.988134295713035,73
6,5283973888475136,Showers,s,W,2019-03-01T03:47:04.081975Z,2019-03-01,7.433333333333334,12.589999999999998,12.185,4.566241950347968,268.8527615569524,1017.1800000000001,75,8.988134295713035,73
7,6461890077130752,Showers,s,W,2019-03-01T00:45:01.506732Z,2019-03-01,6.18,13.083333333333334,12.185,5.078741950347968,265.5928315240677,1017.1800000000001,76,8.870073769187941,73
8,5019272403222528,Heavy Cloud,hc,W,2019-02-28T21:43:02.786204Z,2019-03-01,4.816666666666666,13.12,10.530000000000001,4.766299116497654,275.4365418212393,1018.5699999999999,72,8.870073769187941,71
9,5690052443111424,Heavy Cloud,hc,W,2019-02-28T18:41:03.649376Z,2019-03-01,4.816666666666666,13.12,10.530000000000001,4.766299116497654,275.4365418212393,1018.5699999999999,72,8.870073769187941,71
10,5416007759822848,Heavy Cloud,hc,W,2019-02-28T15:39:02.986260Z,2019-03-01,4.816666666666666,13.12,10.530000000000001,4.766299116497654,275.4365418212393,1018.5699999999999,72,8.870073769187941,71
11,5740034386821120,Heavy Cloud,hc,W,2019-02-28T12:37:05.187509Z,2019-03-01,4.816666666666666,13.12,10.530000000000001,4.766299116497654,275.4365418212393,1018.5699999999999,72,8.870073769187941,71
12,6199880764620800,Heavy Cloud,hc,W,2019-02-28T09:35:03.305049Z,2019-03-01,4.816666666666666,13.12,10.559999999999999,4.783076091497653,269.3277648572423,1019.0699999999999,73,12.108971108725045,71
13,6692314535690240,Heavy Cloud,hc,W,2019-02-28T06:33:03.521812Z,2019-03-01,4.816666666666666,13.12,10.559999999999999,4.783076091497653,269.3277648572423,1019.0699999999999,73,12.108971108725045,71
14,4639409959862272,Heavy Cloud,hc,W,2019-02-28T03:31:02.582850Z,2019-03-01,4.816666666666666,13.12,10.559999999999999,4.783076091497653,269.3277648572423,1019.0699999999999,73,12.108971108725045,71
15,6106047808798720,Heavy Cloud,hc,W,2019-02-28T00:29:01.686157Z,2019-03-01,4.816666666666666,13.12,10.559999999999999,4.783076091497653,269.3277648572423,1019.0699999999999,73,12.108971108725045,71
16,4707250780241920,Heavy Cloud,hc,W,2019-02-27T21:27:02.287645Z,2019-03-01,4.816666666666666,13.12,10.559999999999999,4.783076091497653,269.3277648572423,1019.0699999999999,73,12.108971108725045,71
17,4583106663153664,Heavy Cloud,hc,W,2019-02-27T18:25:02.249224Z,2019-03-01,4.816666666666666,13.12,10.559999999999999,4.783076091497653,269.3277648572423,1019.0699999999999,73,12.108971108725045,71
18,6326324903804928,Heavy Cloud,hc,W,2019-02-27T15:23:02.385151Z,2019-03-01,4.816666666666666,13.12,10.559999999999999,4.783076091497653,269.3277648572423,1019.0699999999999,73,12.108971108725045,71
19,6479810526183424,Heavy Cloud,hc,W,2019-02-27T12:21:03.087527Z,2019-03-01,4.816666666666666,13.12,10.559999999999999,4.783076091497653,269.3277648572423,1019.0699999999999,73,12.108971108725045,71
20,5791006521819136,Showers,s,WSW,2019-02-27T09:19:03.283020Z,2019-03-01,5.22,12.64,10.899999999999999,4.848320066682573,244.0890106416922,1016.325,76,12.108971108725045,73
21,6305675372134400,Showers,s,WSW,2019-02-27T06:17:02.513133Z,2019-03-01,5.22,12.64,10.899999999999999,4.848320066682573,244.0890106416922,1016.325,76,12.108971108725045,73
22,6287004511764480,Showers,s,WSW,2019-02-27T03:15:02.359250Z,2019-03-01,5.22,12.64,10.79,4.6414040416825735,244.0890106416922,1016.825,76,11.844888352024178,73
23,5438426012712960,Showers,s,WSW,2019-02-27T00:13:03.413112Z,2019-03-01,5.22,12.64,10.79,4.6414040416825735,244.0890106416922,1016.825,76,11.844888352024178,73
24,5509471247794176,Showers,s,WSW,2019-02-26T21:11:02.779216Z,2019-03-01,5.22,12.64,10.96,5.273336766682574,244.0890106416922,1016.825,77,11.239362125188897,73
25,5508578062368768,Showers,s,WSW,2019-02-26T18:09:01.946474Z,2019-03-01,5.553333333333334,12.64,10.96,5.023336766682574,245.4113566976502,1016.825,76,11.239362125188897,73
26,5878048865910784,Showers,s,WSW,2019-02-26T15:07:03.478770Z,2019-03-01,5.553333333333334,12.64,10.96,5.023336766682574,245.4113566976502,1016.825,76,11.239362125188897,73
